Id,VendorName,Route,RunType,Type,Reason,Delay,Schools,School Reported,DateOccured
322425,PRIDE TRANSPORTATION (SCH AGE),k206,PM Run,Running Late,Other,61-90 Min,21735,false,2021-01-06
322429,"LORINDA ENTERPRISES, LTD.",l693,AM Run,Breakdown,Won`t Start,,19020,false,2021-01-06
322429,"LORINDA ENTERPRISES, LTD.",l693,AM Run,Breakdown,Won`t Start,,19279,false,2021-01-06
322429,"LORINDA ENTERPRISES, LTD.",l693,AM Run,Breakdown,Won`t Start,,19551,false,2021-01-06
322433,LITTLE RICHIE BUS SERVICE,q600,PM Run,Breakdown,Won`t Start,,24007,false,2021-01-06
322433,LITTLE RICHIE BUS SERVICE,q600,PM Run,Breakdown,Won`t Start,,24409,false,2021-01-06
322449,LEESEL TRANSPORTATION CORP (B2192),n119,AM Run,Running Late,Heavy Traffic,46-60 Min,05079,false,2021-01-06
322449,LEESEL TRANSPORTATION CORP (B2192),n119,AM Run,Running Late,Heavy Traffic,46-60 Min,05133,false,2021-01-06
322449,LEESEL TRANSPORTATION CORP (B2192),n119,AM Run,Running Late,Heavy Traffic,46-60 Min,05440,false,2021-01-06
322451,LITTLE RICHIE BUS SERVICE,q601,AM Run,Running Late,Heavy Traffic,31-45 Min,24409,false,2021-01-06
322452,LITTLE RICHIE BUS SERVICE,q698,AM Run,Running Late,Other,31-45 Min,28600,false,2021-01-06
322532,PRIDE TRANSPORTATION (SCH AGE),q955,AM Run,Running Late,Mechanical Problem,31-45 Min,24755,false,2021-01-08
322539,"BORO TRANSIT, INC.",m119,AM Run,Running Late,Heavy Traffic,16-30 Min,03180,false,2021-01-08
322539,"BORO TRANSIT, INC.",m119,AM Run,Running Late,Heavy Traffic,16-30 Min,03896,true,2021-01-08
322540,Y & M TRANSIT CORP (B2192),k450,AM Run,Running Late,Other,16-30 Min,16360,false,2021-01-08
322540,Y & M TRANSIT CORP (B2192),k450,AM Run,Running Late,Other,16-30 Min,16457,false,2021-01-08
322540,Y & M TRANSIT CORP (B2192),k450,AM Run,Running Late,Other,16-30 Min,16765,false,2021-01-08
322542,VAN TRANS LLC (B2192),x8771,AM Run,Running Late,Heavy Traffic,16-30 Min,10032,false,2021-01-08
322542,VAN TRANS LLC (B2192),x8771,AM Run,Running Late,Heavy Traffic,16-30 Min,10033,false,2021-01-08
322542,VAN TRANS LLC (B2192),x8771,AM Run,Running Late,Heavy Traffic,16-30 Min,10386,false,2021-01-08
322556,"BORO TRANSIT, INC.",k109,AM Run,Running Late,Mechanical Problem,31-45 Min,14023,false,2021-01-08
322556,"BORO TRANSIT, INC.",k109,AM Run,Running Late,Mechanical Problem,31-45 Min,14435,false,2021-01-08
322558,PRIDE TRANSPORTATION (SCH AGE),k442,AM Run,Running Late,Heavy Traffic,31-45 Min,14761,false,2021-01-08
322558,PRIDE TRANSPORTATION (SCH AGE),k442,AM Run,Running Late,Heavy Traffic,31-45 Min,22566,false,2021-01-08
322561,Y & M TRANSIT CORP (B2192),k804,AM Run,Running Late,Heavy Traffic,16-30 Min,20102,false,2021-01-08
322566,PIONEER TRANSPORTATION CORP,x106,AM Run,Running Late,Heavy Traffic,0-15 Min,11816,false,2021-01-08
322569,"RELIANT TRANSPORTATION, INC (B2321)",k597,PM Run,Breakdown,Mechanical Problem,,20164,false,2021-01-11
322569,"RELIANT TRANSPORTATION, INC (B2321)",k597,PM Run,Breakdown,Mechanical Problem,,20223,false,2021-01-11
322569,"RELIANT TRANSPORTATION, INC (B2321)",k597,PM Run,Breakdown,Mechanical Problem,,22004,false,2021-01-11
322569,"RELIANT TRANSPORTATION, INC (B2321)",k597,PM Run,Breakdown,Mechanical Problem,,22760,false,2021-01-11
322569,"RELIANT TRANSPORTATION, INC (B2321)",k597,PM Run,Breakdown,Mechanical Problem,,22795,false,2021-01-11
322573,LEESEL TRANSPORTATION CORP (B2192),n260,AM Run,Breakdown,Mechanical Problem,,02568,false,2021-01-11
322589,PIONEER TRANSPORTATION CORP,x2361,AM Run,Running Late,Heavy Traffic,16-30 Min,08001,false,2021-01-11
322590,"CONSOLIDATED BUS TRANSIT, INC.",m867,PM Run,Running Late,Heavy Traffic,16-30 Min,04112,false,2021-01-11
322590,"CONSOLIDATED BUS TRANSIT, INC.",m867,PM Run,Running Late,Heavy Traffic,16-30 Min,04469,false,2021-01-11
322601,VAN TRANS LLC (B2192),n701,AM Run,Running Late,Heavy Traffic,0-15 Min,75907,false,2021-01-11
322223,G.V.C. LTD. (B2192),x594,AM Run,Running Late,Heavy Traffic,46-60 Min,08138,false,2021-01-04
322226,ALLIED TRANSIT CORP.,k004,AM Run,Running Late,Heavy Traffic,16-30 Min,13433,false,2021-01-04
322226,ALLIED TRANSIT CORP.,k004,AM Run,Running Late,Heavy Traffic,16-30 Min,13453,false,2021-01-04
322226,ALLIED TRANSIT CORP.,k004,AM Run,Running Late,Heavy Traffic,16-30 Min,13461,false,2021-01-04
322231,"RELIANT TRANSPORTATION, INC (B2321)",l654,AM Run,Running Late,Heavy Traffic,31-45 Min,16406,false,2021-01-04
322231,"RELIANT TRANSPORTATION, INC (B2321)",l654,AM Run,Running Late,Heavy Traffic,31-45 Min,16407,false,2021-01-04
322231,"RELIANT TRANSPORTATION, INC (B2321)",l654,AM Run,Running Late,Heavy Traffic,31-45 Min,16593,false,2021-01-04
322231,"RELIANT TRANSPORTATION, INC (B2321)",l654,AM Run,Running Late,Heavy Traffic,31-45 Min,16687,false,2021-01-04
322234,"RELIANT TRANSPORTATION, INC (B2321)",q044,AM Run,Running Late,Heavy Traffic,31-45 Min,27210,false,2021-01-04
322234,"RELIANT TRANSPORTATION, INC (B2321)",q044,AM Run,Running Late,Heavy Traffic,31-45 Min,27316,false,2021-01-04
322239,EMPIRE STATE BUS CORP.,k165,AM Run,Running Late,Heavy Traffic,16-30 Min,14120,false,2021-01-04
322239,EMPIRE STATE BUS CORP.,k165,AM Run,Running Late,Heavy Traffic,16-30 Min,14257,false,2021-01-04
322241,"BORO TRANSIT, INC.",n843,AM Run,Running Late,Heavy Traffic,31-45 Min,75627,false,2021-01-04
322244,HOYT TRANSPORTATION CORP.,r612,AM Run,Breakdown,Mechanical Problem,,31016,false,2021-01-04
322244,HOYT TRANSPORTATION CORP.,r612,AM Run,Breakdown,Mechanical Problem,,31435,false,2021-01-04
322246,PRIDE TRANSPORTATION (SCH AGE),x957,AM Run,Running Late,Heavy Traffic,16-30 Min,10306,false,2021-01-04
322246,PRIDE TRANSPORTATION (SCH AGE),x957,AM Run,Running Late,Heavy Traffic,16-30 Min,10444,false,2021-01-04
322249,QUALITY TRANSPORTATION CORP.,q2657,AM Run,Running Late,Accident,46-60 Min,26216,false,2021-01-04
322251,"RELIANT TRANSPORTATION, INC (B2321)",l684,AM Run,Running Late,Other,31-45 Min,18709,false,2021-01-04
322252,PRIDE TRANSPORTATION (SCH AGE),m908,AM Run,Running Late,Heavy Traffic,16-30 Min,01188,false,2021-01-04
322252,PRIDE TRANSPORTATION (SCH AGE),m908,AM Run,Running Late,Heavy Traffic,16-30 Min,01400,false,2021-01-04
322252,PRIDE TRANSPORTATION (SCH AGE),m908,AM Run,Running Late,Heavy Traffic,16-30 Min,01450,false,2021-01-04
322252,PRIDE TRANSPORTATION (SCH AGE),m908,AM Run,Running Late,Heavy Traffic,16-30 Min,01616,false,2021-01-04
