OPT School Codes,ATS Code,School Name,Address,Phone,District,Borough,Type of School,Building Code
2047,02M047,47 AMER.SIGN LANG.& ENGL. SCH.,223 EAST 23 STREET Manhattan NY 10010,(917) 326-6668,2,Manhattan,Public,M047
75665,,A B DAVIS MIDDLE SCHOOL,350 GRAMATAN AVENUE MT VERNON NY 10552,(914) 665-5120,00*,MT VERNON,non nyc pub,
15801,,A FANTIS SCHOOL,195 STATE STREET Brooklyn NY 11201,(718) 624-0501,15,Brooklyn,Christian,
6577,06M540,A. PHILIP RANDOLPH CAMPUS HS,443 WEST 135 STREET New York NY 10031,(212) 690-6800,6,Manhattan,Public,M540
24290,24Q290,A.C.E. ACADEMY FOR SCHOLARS,55-20 METROPOLITAN AVENUE Queens NY 11385,(718) 571-6900,24,Queens,Public,Q290
2986,,AARON ELEMENTARY SCHOOL,309 EAST 45 STREET New York NY 10017,(212) 867-9594,2,Manhattan,Nonsectarian,
2990,,AARON SCHOOL,40 EAST 30 STREET New York NY 10016,(212) 867-9594,2,Manhattan,Nonsectarian,
2441,,ABC-MERRICAT'S CASTLE SCH,316 EAST 88 STREET New York NY 10128,(212) 534-3656,2,Manhattan,Nonsectarian,
75950,,ABILITY SCHOOL,"192 W DEMAREST AVE, ENGLEWOOD NJ 07631",(201) 871-8808,00*,ENGLEWOOD,Nonsectarian,
21501,21K410,ABRAHAM LINCOLN HS,2800 OCEAN PARKWAY Brooklyn NY 11235,(718) 333-7400,21,Brooklyn,Public,K410
11008,,ACACIA HUNTS POINT,1064 FRANKLIN AVENUE BRONX NY 10456,(___) ___-____,11,Bronx,Public,
9010,,ACACIA HUNTS POINT ANNEX,300 EAST 175TH STREET BRONX NY 10457,(___) ___-____,9,Bronx,Public,
30511,30Q301,ACAD FOR CAREERS - TELE & FIlM,1-50 51st Avenue Queens NY 11101,(718) 609-3330,30,Queens,Public,Q404
